;infix;prefix;conclusion
483;( 4 and 4 ) sep not 3;sep and 4 4 not 3;nnFTn
484;( 3 and 3 ) sep ( 1 or 4 );sep and 3 3 or 1 4;nnTTn,TnTnn
485;( 1 and 4 ) sep ( 4 and 3 );sep and 1 4 and 4 3;TnTTn
486;4 sep ( 4 or 5 );sep 4 or 4 5;nnnTn
487;not 3 sep ( 4 and 4 );sep not 3 and 4 4;nnFTn
488;( 5 and 1 ) sep ( 1 or 3 );sep and 5 1 or 1 3;TnnnT
489;( 5 and 4 ) sep ( 2 or 1 );sep and 5 4 or 2 1;nTnTT,TnnTT
490;( 3 or 3 ) sep ( 5 or 2 );sep or 3 3 or 5 2;nnTnT,nTTnn
491;1 sep ( 1 and 1 );sep 1 and 1 1;Tnnnn
492;( 1 and 5 ) sep 2;sep and 1 5 2;TTnnT
493;( 3 and 2 ) sep ( 3 and 1 );sep and 3 2 and 3 1;TTTnn
494;1 sep 4;sep 1 4;TnnTn
495;( 3 or 3 ) sep ( 2 or 2 );sep or 3 3 or 2 2;nTTnn
496;( 4 and 5 ) sep ( 1 or 2 );sep and 4 5 or 1 2;nTnTT,TnnTT
497;( 5 and 4 ) sep ( 3 or 2 );sep and 5 4 or 3 2;nnTTT,nTnTT
498;( 5 and 5 ) sep ( 2 or 3 );sep and 5 5 or 2 3;nnTnT,nTnnT
499;not 1 sep ( 3 or 5 );sep not 1 or 3 5;FnnnT,FnTnn
500;( 1 or 4 ) sep not 1;sep or 1 4 not 1;FnnTn
501;( 2 or 5 ) sep ( 4 and 5 );sep or 2 5 and 4 5;nnnTT
502;( 4 and 3 ) sep 2;sep and 4 3 2;nTTTn
503;( 5 or 3 ) sep ( 4 and 1 );sep or 5 3 and 4 1;TnnTT,TnTTn
504;not 3 sep ( 5 or 2 );sep not 3 or 5 2;nnFnT,nTFnn
505;( 5 and 3 ) sep ( 5 or 5 );sep and 5 3 or 5 5;nnTnT
506;( 1 or 1 ) sep ( 1 and 3 );sep or 1 1 and 1 3;TnTnn
507;not 3 sep ( 4 and 5 );sep not 3 and 4 5;nnFTT
508;( 2 or 5 ) sep ( 5 and 4 );sep or 2 5 and 5 4;nnnTT
509;not 4 sep 3;sep not 4 3;nnTFn
510;( 3 and 4 ) sep ( 4 and 3 );sep and 3 4 and 4 3;nnTTn
511;( 5 and 1 ) sep not 4;sep and 5 1 not 4;TnnFT
512;( 3 or 1 ) sep ( 5 and 4 );sep or 3 1 and 5 4;nnTTT,TnnTT
513;( 3 or 2 ) sep ( 5 and 3 );sep or 3 2 and 5 3;nnTnT
514;( 1 and 1 ) sep ( 1 or 1 );sep and 1 1 or 1 1;Tnnnn
515;( 1 or 5 ) sep not 2;sep or 1 5 not 2;nFnnT,TFnnn
516;( 4 and 3 ) sep 4;sep and 4 3 4;nnTTn
517;( 3 and 5 ) sep ( 1 or 2 );sep and 3 5 or 1 2;nTTnT,TnTnT
518;( 2 or 1 ) sep ( 5 and 4 );sep or 2 1 and 5 4;nTnTT,TnnTT
519;( 3 and 5 ) sep ( 5 or 4 );sep and 3 5 or 5 4;nnTnT
520;( 1 or 4 ) sep ( 2 or 2 );sep or 1 4 or 2 2;nTnTn,TTnnn
521;2 sep ( 5 or 1 );sep 2 or 5 1;nTnnT,TTnnn
522;4 sep ( 1 and 2 );sep 4 and 1 2;TTnTn
523;( 2 or 2 ) sep ( 3 or 1 );sep or 2 2 or 3 1;nTTnn,TTnnn
524;( 3 and 1 ) sep not 5;sep and 3 1 not 5;TnTnF
525;( 5 and 3 ) sep ( 2 or 3 );sep and 5 3 or 2 3;nnTnT
526;( 5 and 3 ) sep 2;sep and 5 3 2;nTTnT
527;( 5 or 3 ) sep ( 1 or 4 );sep or 5 3 or 1 4;nnnTT,nnTTn,TnnnT,TnTnn
528;5 sep ( 5 and 2 );sep 5 and 5 2;nTnnT
529;( 3 and 1 ) sep ( 3 or 5 );sep and 3 1 or 3 5;TnTnn
530;2 sep 4;sep 2 4;nTnTn
531;( 3 or 3 ) sep not 1;sep or 3 3 not 1;FnTnn
532;( 3 and 3 ) sep not 2;sep and 3 3 not 2;nFTnn
533;( 1 or 2 ) sep ( 3 and 3 );sep or 1 2 and 3 3;nTTnn,TnTnn
534;( 4 or 1 ) sep ( 3 or 1 );sep or 4 1 or 3 1;nnTTn,Tnnnn
535;( 3 or 1 ) sep ( 5 or 3 );sep or 3 1 or 5 3;nnTnn,TnnnT
536;( 1 and 4 ) sep ( 1 and 1 );sep and 1 4 and 1 1;TnnTn
537;( 3 and 1 ) sep ( 3 or 4 );sep and 3 1 or 3 4;TnTnn
538;( 5 and 2 ) sep ( 4 and 4 );sep and 5 2 and 4 4;nTnTT
539;( 1 or 1 ) sep ( 1 and 4 );sep or 1 1 and 1 4;TnnTn
540;( 1 and 1 ) sep ( 5 and 4 );sep and 1 1 and 5 4;TnnTT
541;( 3 or 1 ) sep ( 4 or 1 );sep or 3 1 or 4 1;nnTTn,Tnnnn
542;( 4 or 5 ) sep ( 2 or 5 );sep or 4 5 or 2 5;nnnnT,nTnTn
543;3 sep ( 1 and 3 );sep 3 and 1 3;TnTnn
544;( 1 and 2 ) sep not 3;sep and 1 2 not 3;TTFnn
545;( 4 and 5 ) sep ( 5 and 4 );sep and 4 5 and 5 4;nnnTT
546;not 1 sep ( 2 and 5 );sep not 1 and 2 5;FTnnT
547;5 sep ( 3 and 5 );sep 5 and 3 5;nnTnT
548;5 sep ( 2 and 5 );sep 5 and 2 5;nTnnT
549;not 5 sep ( 1 or 2 );sep not 5 or 1 2;nTnnF,TnnnF
550;not 2 sep 5;sep not 2 5;nFnnT
551;( 2 or 4 ) sep ( 5 or 5 );sep or 2 4 or 5 5;nnnTT,nTnnT
552;1 sep ( 1 and 3 );sep 1 and 1 3;TnTnn
553;( 3 and 3 ) sep not 5;sep and 3 3 not 5;nnTnF
554;not 2 sep ( 3 and 3 );sep not 2 and 3 3;nFTnn
555;( 5 or 3 ) sep 4;sep or 5 3 4;nnnTT,nnTTn
556;( 2 or 5 ) sep ( 1 or 2 );sep or 2 5 or 1 2;nTnnn,TnnnT
557;( 2 and 3 ) sep 5;sep and 2 3 5;nTTnT
558;( 2 or 2 ) sep 5;sep or 2 2 5;nTnnT
559;( 1 or 5 ) sep not 3;sep or 1 5 not 3;nnFnT,TnFnn
560;( 1 and 5 ) sep ( 3 and 2 );sep and 1 5 and 3 2;TTTnT
561;( 1 or 5 ) sep not 1;sep or 1 5 not 1;FnnnT
562;4 sep not 3;sep 4 not 3;nnFTn
563;not 5 sep ( 1 and 1 );sep not 5 and 1 1;TnnnF
564;not 2 sep ( 3 or 3 );sep not 2 or 3 3;nFTnn
565;not 2 sep not 1;sep not 2 not 1;FFnnn
566;( 5 or 5 ) sep 3;sep or 5 5 3;nnTnT
567;not 1 sep ( 1 or 4 );sep not 1 or 1 4;FnnTn
568;( 2 and 2 ) sep ( 2 or 2 );sep and 2 2 or 2 2;nTnnn
569;( 2 and 4 ) sep not 1;sep and 2 4 not 1;FTnTn
570;not 4 sep ( 1 or 3 );sep not 4 or 1 3;nnTFn,TnnFn
571;( 4 or 2 ) sep not 4;sep or 4 2 not 4;nTnFn
572;( 5 or 4 ) sep 1;sep or 5 4 1;TnnnT,TnnTn
573;4 sep ( 3 and 5 );sep 4 and 3 5;nnTTT
574;( 3 and 4 ) sep ( 5 and 1 );sep and 3 4 and 5 1;TnTTT
575;( 3 and 4 ) sep ( 5 and 3 );sep and 3 4 and 5 3;nnTTT
576;1 sep ( 1 and 2 );sep 1 and 1 2;TTnnn
577;( 2 and 4 ) sep ( 5 or 1 );sep and 2 4 or 5 1;nTnTT,TTnTn
578;not 4 sep ( 5 and 3 );sep not 4 and 5 3;nnTFT
579;( 4 or 1 ) sep 4;sep or 4 1 4;nnnTn
580;not 5 sep ( 2 or 1 );sep not 5 or 2 1;nTnnF,TnnnF
581;( 2 or 5 ) sep ( 3 or 3 );sep or 2 5 or 3 3;nnTnT,nTTnn
582;( 2 or 1 ) sep ( 4 or 5 );sep or 2 1 or 4 5;nTnnT,nTnTn,TnnnT,TnnTn
583;( 4 or 3 ) sep ( 1 or 2 );sep or 4 3 or 1 2;nTnTn,nTTnn,TnnTn,TnTnn
584;( 2 and 3 ) sep 3;sep and 2 3 3;nTTnn
585;( 1 and 2 ) sep ( 4 and 5 );sep and 1 2 and 4 5;TTnTT
586;( 5 and 5 ) sep ( 5 and 3 );sep and 5 5 and 5 3;nnTnT
587;( 3 or 3 ) sep ( 3 or 1 );sep or 3 3 or 3 1;nnTnn
588;not 1 sep ( 2 and 4 );sep not 1 and 2 4;FTnTn
589;( 2 or 1 ) sep ( 4 and 4 );sep or 2 1 and 4 4;nTnTn,TnnTn
590;not 4 sep ( 1 or 1 );sep not 4 or 1 1;TnnFn
591;not 1 sep ( 4 and 5 );sep not 1 and 4 5;FnnTT
592;( 4 and 5 ) sep ( 3 and 4 );sep and 4 5 and 3 4;nnTTT
593;( 3 and 4 ) sep ( 2 or 3 );sep and 3 4 or 2 3;nnTTn
594;( 3 and 3 ) sep 2;sep and 3 3 2;nTTnn
595;( 3 or 2 ) sep ( 4 and 3 );sep or 3 2 and 4 3;nnTTn
596;5 sep ( 5 or 1 );sep 5 or 5 1;nnnnT
597;( 5 or 5 ) sep not 2;sep or 5 5 not 2;nFnnT
598;( 3 or 4 ) sep ( 3 or 4 );sep or 3 4 or 3 4;nnnTn,nnTnn
599;( 1 or 5 ) sep ( 1 or 4 );sep or 1 5 or 1 4;nnnTT,Tnnnn
600;( 1 or 1 ) sep ( 5 or 5 );sep or 1 1 or 5 5;TnnnT
601;( 5 or 4 ) sep ( 5 or 4 );sep or 5 4 or 5 4;nnnnT,nnnTn
602;( 5 or 3 ) sep ( 3 and 2 );sep or 5 3 and 3 2;nTTnn
603;( 5 or 2 ) sep 2;sep or 5 2 2;nTnnn
604;( 4 or 4 ) sep ( 3 or 3 );sep or 4 4 or 3 3;nnTTn
605;( 3 or 4 ) sep not 1;sep or 3 4 not 1;FnnTn,FnTnn
606;( 1 or 4 ) sep ( 1 and 5 );sep or 1 4 and 1 5;TnnnT
607;( 4 and 5 ) sep ( 3 and 2 );sep and 4 5 and 3 2;nTTTT
608;( 5 or 1 ) sep ( 3 or 4 );sep or 5 1 or 3 4;nnnTT,nnTnT,TnnTn,TnTnn
609;2 sep ( 1 or 3 );sep 2 or 1 3;nTTnn,TTnnn
610;( 5 or 4 ) sep ( 4 or 1 );sep or 5 4 or 4 1;nnnTn,TnnnT
611;not 5 sep ( 2 or 5 );sep not 5 or 2 5;nTnnF
612;2 sep 3;sep 2 3;nTTnn
613;( 4 and 5 ) sep ( 1 or 1 );sep and 4 5 or 1 1;TnnTT
614;( 1 or 1 ) sep 1;sep or 1 1 1;Tnnnn
615;2 sep ( 4 and 2 );sep 2 and 4 2;nTnTn
616;( 2 and 5 ) sep ( 3 and 1 );sep and 2 5 and 3 1;TTTnT
617;( 2 and 1 ) sep 1;sep and 2 1 1;TTnnn
618;5 sep ( 4 and 2 );sep 5 and 4 2;nTnTT
619;( 1 and 1 ) sep ( 4 or 2 );sep and 1 1 or 4 2;TnnTn,TTnnn
620;( 3 and 3 ) sep ( 2 or 3 );sep and 3 3 or 2 3;nnTnn
621;( 2 or 5 ) sep not 5;sep or 2 5 not 5;nTnnF
622;( 4 or 1 ) sep ( 3 and 4 );sep or 4 1 and 3 4;nnTTn
623;( 2 or 4 ) sep 1;sep or 2 4 1;TnnTn,TTnnn
624;not 4 sep 2;sep not 4 2;nTnFn
625;( 5 and 3 ) sep ( 1 and 5 );sep and 5 3 and 1 5;TnTnT
626;( 4 and 1 ) sep ( 2 or 5 );sep and 4 1 or 2 5;TnnTT,TTnTn
627;not 5 sep ( 1 and 2 );sep not 5 and 1 2;TTnnF
628;not 1 sep not 1;sep not 1 not 1;Fnnnn
629;( 5 or 1 ) sep ( 5 and 2 );sep or 5 1 and 5 2;nTnnT
630;( 5 or 3 ) sep ( 4 and 2 );sep or 5 3 and 4 2;nTnTT,nTTTn
631;( 1 and 3 ) sep ( 5 and 1 );sep and 1 3 and 5 1;TnTnT
632;( 4 and 3 ) sep not 2;sep and 4 3 not 2;nFTTn
633;( 2 or 2 ) sep ( 5 or 4 );sep or 2 2 or 5 4;nTnnT,nTnTn
634;( 1 and 3 ) sep ( 4 and 1 );sep and 1 3 and 4 1;TnTTn
635;( 5 and 3 ) sep ( 5 or 3 );sep and 5 3 or 5 3;nnTnT
636;not 2 sep ( 5 or 2 );sep not 2 or 5 2;nFnnT
637;1 sep ( 4 or 4 );sep 1 or 4 4;TnnTn
638;( 3 or 5 ) sep ( 4 and 1 );sep or 3 5 and 4 1;TnnTT,TnTTn
639;not 3 sep ( 4 or 2 );sep not 3 or 4 2;nnFTn,nTFnn
640;( 1 or 4 ) sep ( 2 and 4 );sep or 1 4 and 2 4;nTnTn
641;not 4 sep ( 3 and 3 );sep not 4 and 3 3;nnTFn
642;( 2 or 3 ) sep 2;sep or 2 3 2;nTnnn
643;5 sep not 1;sep 5 not 1;FnnnT
644;( 5 or 5 ) sep ( 5 and 2 );sep or 5 5 and 5 2;nTnnT
645;5 sep not 4;sep 5 not 4;nnnFT
646;( 1 and 5 ) sep ( 5 and 2 );sep and 1 5 and 5 2;TTnnT
647;( 2 and 2 ) sep not 5;sep and 2 2 not 5;nTnnF
648;not 2 sep ( 3 or 2 );sep not 2 or 3 2;nFTnn
649;( 5 and 3 ) sep ( 1 and 4 );sep and 5 3 and 1 4;TnTTT
650;not 2 sep not 2;sep not 2 not 2;nFnnn
651;( 4 and 1 ) sep ( 5 and 2 );sep and 4 1 and 5 2;TTnTT
652;( 5 or 1 ) sep 3;sep or 5 1 3;nnTnT,TnTnn
653;( 3 and 5 ) sep 1;sep and 3 5 1;TnTnT
654;( 2 and 3 ) sep ( 2 and 4 );sep and 2 3 and 2 4;nTTTn
655;( 5 or 4 ) sep 3;sep or 5 4 3;nnTnT,nnTTn
656;5 sep ( 3 or 3 );sep 5 or 3 3;nnTnT
657;( 2 and 1 ) sep ( 1 and 3 );sep and 2 1 and 1 3;TTTnn
658;not 2 sep ( 5 and 5 );sep not 2 and 5 5;nFnnT
659;( 4 or 4 ) sep ( 1 and 3 );sep or 4 4 and 1 3;TnTTn
660;4 sep 1;sep 4 1;TnnTn
661;( 5 and 3 ) sep ( 5 and 5 );sep and 5 3 and 5 5;nnTnT
662;not 3 sep 2;sep not 3 2;nTFnn
663;( 4 and 4 ) sep ( 1 and 1 );sep and 4 4 and 1 1;TnnTn
664;( 1 or 2 ) sep not 2;sep or 1 2 not 2;TFnnn
665;( 4 and 5 ) sep ( 3 or 4 );sep and 4 5 or 3 4;nnnTT
666;( 1 and 5 ) sep 5;sep and 1 5 5;TnnnT
667;( 4 or 2 ) sep not 3;sep or 4 2 not 3;nnFTn,nTFnn
668;( 1 and 1 ) sep ( 5 or 3 );sep and 1 1 or 5 3;TnnnT,TnTnn
669;( 3 or 1 ) sep ( 4 and 4 );sep or 3 1 and 4 4;nnTTn,TnnTn
670;( 2 and 2 ) sep ( 1 or 1 );sep and 2 2 or 1 1;TTnnn
671;( 1 and 3 ) sep ( 4 or 4 );sep and 1 3 or 4 4;TnTTn
672;3 sep 2;sep 3 2;nTTnn
673;( 4 and 1 ) sep ( 1 or 5 );sep and 4 1 or 1 5;TnnTn
674;not 2 sep not 5;sep not 2 not 5;nFnnF
675;( 3 or 4 ) sep not 5;sep or 3 4 not 5;nnnTF,nnTnF
676;( 3 and 5 ) sep ( 5 or 2 );sep and 3 5 or 5 2;nnTnT
677;( 5 or 5 ) sep not 1;sep or 5 5 not 1;FnnnT
678;not 3 sep ( 4 and 1 );sep not 3 and 4 1;TnFTn
679;( 3 and 1 ) sep ( 5 or 1 );sep and 3 1 or 5 1;TnTnn
680;( 1 or 4 ) sep ( 3 or 5 );sep or 1 4 or 3 5;nnnTT,nnTTn,TnnnT,TnTnn
681;( 4 and 4 ) sep not 5;sep and 4 4 not 5;nnnTF
682;( 3 or 5 ) sep not 5;sep or 3 5 not 5;nnTnF
683;( 5 and 4 ) sep ( 4 or 3 );sep and 5 4 or 4 3;nnnTT
684;not 5 sep ( 1 and 3 );sep not 5 and 1 3;TnTnF
685;( 5 or 3 ) sep ( 1 or 1 );sep or 5 3 or 1 1;TnnnT,TnTnn
686;( 2 or 3 ) sep ( 2 or 5 );sep or 2 3 or 2 5;nnTnT,nTnnn
687;( 4 or 5 ) sep not 1;sep or 4 5 not 1;FnnnT,FnnTn
688;( 2 and 2 ) sep ( 5 and 1 );sep and 2 2 and 5 1;TTnnT
689;not 1 sep 2;sep not 1 2;FTnnn
690;( 3 or 1 ) sep 3;sep or 3 1 3;nnTnn
691;5 sep ( 1 or 3 );sep 5 or 1 3;nnTnT,TnnnT
692;( 2 and 3 ) sep ( 1 and 4 );sep and 2 3 and 1 4;TTTTn
693;( 2 or 2 ) sep not 4;sep or 2 2 not 4;nTnFn
694;not 2 sep ( 1 or 2 );sep not 2 or 1 2;TFnnn
695;( 4 or 3 ) sep ( 5 or 4 );sep or 4 3 or 5 4;nnnTn,nnTnT
696;( 3 or 3 ) sep ( 1 and 3 );sep or 3 3 and 1 3;TnTnn
697;4 sep ( 1 and 5 );sep 4 and 1 5;TnnTT
698;( 3 and 2 ) sep 5;sep and 3 2 5;nTTnT
699;( 3 and 1 ) sep ( 1 and 5 );sep and 3 1 and 1 5;TnTnT
700;( 2 or 3 ) sep ( 5 and 5 );sep or 2 3 and 5 5;nnTnT,nTnnT
701;( 5 or 2 ) sep 5;sep or 5 2 5;nnnnT
702;( 5 or 3 ) sep ( 2 or 3 );sep or 5 3 or 2 3;nnTnn,nTnnT
703;( 5 or 3 ) sep not 1;sep or 5 3 not 1;FnnnT,FnTnn
704;( 1 or 2 ) sep not 1;sep or 1 2 not 1;FTnnn
705;( 5 or 5 ) sep ( 4 and 2 );sep or 5 5 and 4 2;nTnTT
706;( 4 and 1 ) sep 5;sep and 4 1 5;TnnTT
707;( 2 and 5 ) sep 1;sep and 2 5 1;TTnnT
708;( 1 and 5 ) sep ( 2 or 4 );sep and 1 5 or 2 4;TnnTT,TTnnT
709;( 3 or 5 ) sep ( 4 and 4 );sep or 3 5 and 4 4;nnnTT,nnTTn
710;( 1 or 3 ) sep ( 1 or 5 );sep or 1 3 or 1 5;nnTnT,Tnnnn
711;( 2 and 1 ) sep ( 2 or 1 );sep and 2 1 or 2 1;TTnnn
712;( 4 or 4 ) sep not 3;sep or 4 4 not 3;nnFTn
713;( 5 and 3 ) sep 5;sep and 5 3 5;nnTnT
714;( 1 or 4 ) sep ( 2 and 1 );sep or 1 4 and 2 1;TTnnn
715;( 2 or 1 ) sep 2;sep or 2 1 2;nTnnn
716;( 5 or 1 ) sep ( 5 and 4 );sep or 5 1 and 5 4;nnnTT
717;( 2 or 5 ) sep ( 1 and 5 );sep or 2 5 and 1 5;TnnnT
718;( 5 and 4 ) sep ( 5 and 3 );sep and 5 4 and 5 3;nnTTT
719;( 4 or 2 ) sep not 2;sep or 4 2 not 2;nFnTn
720;not 1 sep 5;sep not 1 5;FnnnT
721;not 3 sep ( 1 or 4 );sep not 3 or 1 4;nnFTn,TnFnn
722;( 5 or 3 ) sep ( 3 or 2 );sep or 5 3 or 3 2;nnTnn,nTnnT
723;( 5 and 2 ) sep ( 2 and 5 );sep and 5 2 and 2 5;nTnnT
724;( 3 and 5 ) sep ( 4 and 3 );sep and 3 5 and 4 3;nnTTT
